changed,group,label
true,japan,jp_upd_a
true,japan,jp_upd_q
true,japan,jp_upd_m
true,japan,jp_upd_m2
true,bea,com_upd_HI
false,bea,inc_upd_HIa
true,bea,com_upd_HAW
true,bea,inc_upd_q
false,bea,inc_upd_HAWa
true,bea,com_upd_HON
true,bea,com_upd_KAU
false,bea,inc_upd_HONa
true,bea,com_upd_MAU
false,bea,inc_upd_KAUa
false,bea,inc_upd_MAUa
true,bls,bls_cpi_upd_s
true,bls,bls_cpi_upd_m
false,bls,hiwi_upd_HI
false,bls,hiwi_upd_HON
false,bls,hiwi_upd_HAW
true,misc,const_upd_q
false,bls,hiwi_upd_KAU
true,misc,const_upd_m
false,rawdata,const_upd_m_ID
false,bls,hiwi_upd_MAU
true,bls,bls_job_upd_m
true,misc,UIC_upd
true,tax,collec_upd
false,tour,tour_ocup_upd
true,rawdata,tour_vexp_upd_ID
true,tour,tour_seats_upd
true,tour,tour_rev_upd1
true,tour,tour_PC_upd
true,tour,tour_upd1
true,tour,tour_rev_upd2
true,tour,tour_rev_upd3_pre_dummy
true,us,us_upd_a
true,tax,ge_upd
true,tour,tour_upd2
true,tour,tour_rev_upd3
true,us,us_upd_q
true,us,us_upd_q2
true,rawdata,us_upd_q_ID
true,tour,tour_upd3
true,us,us_upd_m
true,us,us_upd_m2
true,bea,gsp_upd
true,bea,inc_HIa
true,bea,inc_HAWa
true,bea,inc_HONa
true,bea,inc_KAUa
true,bea,inc_MAUa
true,tour,tour_big_rev
true,bls,hiwi_HI
true,bls,hiwi_HON
true,bls,hiwi_HAW
true,bls,hiwi_KAU
true,bls,hiwi_MAU
true,misc,poil
